waypoint_name,x_position,y_position,classification
S,0,0,start
T,20,20,target
0,15.031090239255956,7.1962042170748814,obstacle
1,15.002307527013826,7.476096996310079,obstacle
2,9.923546670380983,15.136811505753908,obstacle
3,10.322809415794683,9.18290938335876,obstacle
4,16.01380419672107,11.320484051894717,obstacle
5,15.670680758251319,15.152969986083098,obstacle
6,12.021574392624304,7.492916319841836,obstacle
7,10.773796432930416,7.279904195012909,obstacle
8,11.989558616012307,5.4601333332149755,obstacle
9,14.180437159951197,9.442759634807445,obstacle
